总分: 800, 汉滨区人数: 23
总分: 799, 汉滨区人数: 23
总分: 798, 汉滨区人数: 14
总分: 797, 汉滨区人数: 11
总分: 796, 汉滨区人数: 7
总分: 795, 汉滨区人数: 15
总分: 794, 汉滨区人数: 15
总分: 793, 汉滨区人数: 12
总分: 792, 汉滨区人数: 18
总分: 791, 汉滨区人数: 16
总分: 790, 汉滨区人数: 17
总分: 789, 汉滨区人数: 12
总分: 788, 汉滨区人数: 11
总分: 787, 汉滨区人数: 11
总分: 786, 汉滨区人数: 23
总分: 785, 汉滨区人数: 16
总分: 784, 汉滨区人数: 21
总分: 783, 汉滨区人数: 14
总分: 782, 汉滨区人数: 18
总分: 781, 汉滨区人数: 22
总分: 780, 汉滨区人数: 17
总分: 779, 汉滨区人数: 22
总分: 778, 汉滨区人数: 23
总分: 777, 汉滨区人数: 25
总分: 776, 汉滨区人数: 22
总分: 775, 汉滨区人数: 22
总分: 774, 汉滨区人数: 16
总分: 773, 汉滨区人数: 23
总分: 772, 汉滨区人数: 33
总分: 771, 汉滨区人数: 17
总分: 769, 汉滨区人数: 31
总分: 768, 汉滨区人数: 23
总分: 767, 汉滨区人数: 27
总分: 766, 汉滨区人数: 29
总分: 765, 汉滨区人数: 30
总分: 764, 汉滨区人数: 33
总分: 763, 汉滨区人数: 28
总分: 762, 汉滨区人数: 30
总分: 761, 汉滨区人数: 29
总分: 760, 汉滨区人数: 29
总分: 759, 汉滨区人数: 38
总分: 758, 汉滨区人数: 35
总分: 757, 汉滨区人数: 38
总分: 756, 汉滨区人数: 33
总分: 755, 汉滨区人数: 30
总分: 754, 汉滨区人数: 30
总分: 753, 汉滨区人数: 36
总分: 752, 汉滨区人数: 32
总分: 751, 汉滨区人数: 29
总分: 750, 汉滨区人数: 28
总分: 749, 汉滨区人数: 37
总分: 748, 汉滨区人数: 33
总分: 747, 汉滨区人数: 33
总分: 746, 汉滨区人数: 33
总分: 745, 汉滨区人数: 35
总分: 744, 汉滨区人数: 32
总分: 743, 汉滨区人数: 42
总分: 742, 汉滨区人数: 42
总分: 741, 汉滨区人数: 23
总分: 740, 汉滨区人数: 37
总分: 739, 汉滨区人数: 35
总分: 737, 汉滨区人数: 29
总分: 736, 汉滨区人数: 35
总分: 735, 汉滨区人数: 40
总分: 734, 汉滨区人数: 34
总分: 733, 汉滨区人数: 42
总分: 732, 汉滨区人数: 26
总分: 731, 汉滨区人数: 32
总分: 730, 汉滨区人数: 37
总分: 729, 汉滨区人数: 29
总分: 728, 汉滨区人数: 49
